trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-78.0110941784148,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-78.94664623161312,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9417645335842487}",35,0,-206.10251668339194,"{0: 19, 1: 4, 2: 7, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-64.27701895212088,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-175.39945161393183,"{0: 12, 1: 2, 2: 0, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,1,-57.72801707953029,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-90.7609613737018,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,9,-25.02814956550789,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-126.20759380884392,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-130.53634782109722,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-103.41848490502525,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,0,-114.07184443666512,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,16,5.021744431121379,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7557837414557255}",30,0,-141.9068608733511,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,11,8.112164764465179,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,9,-43.831991944857606,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-68.11681017451941,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-119.95740040414348,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-98.09658352715485,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-107.90890624610887,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6570468198150567}",30,2,-91.65823427467332,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-60.46826669973353,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.631283645506926}",25,1,-119.58311072326471,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,0,-93.72463244978552,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",1
